wave,n_u,temp,dens,val
3971.22080595521,7,1000.0,10000000000.0,1.596e-24
3971.22080595521,7,1000.0,100000000000.0,6.872e-24
3971.22080595521,7,1000.0,1000000000000.0,1.787e-23
3971.22080595521,7,1000.0,10000000000000.0,2.37e-23
3971.22080595521,7,1000.0,100000000000000.0,2.519e-23
3971.22080595521,7,3000.0,100.0,4.888e-26
3971.22080595521,7,3000.0,1000.0,4.939e-26
3971.22080595521,7,3000.0,10000.0,5.029e-26
3971.22080595521,7,3000.0,100000.0,5.197e-26
3971.22080595521,7,3000.0,1000000.0,5.594e-26
3971.22080595521,7,3000.0,10000000.0,6.736e-26
3971.22080595521,7,3000.0,100000000.0,8.945e-26
3971.22080595521,7,3000.0,1000000000.0,1.22e-25
3971.22080595521,7,3000.0,10000000000.0,2.116e-25
3971.22080595521,7,3000.0,100000000000.0,4.766e-25
3971.22080595521,7,3000.0,1000000000000.0,6.983e-25
3971.22080595521,7,3000.0,10000000000000.0,7.653e-25
3971.22080595521,7,3000.0,100000000000000.0,7.813e-25
3971.22080595521,7,5000.0,100.0,3.388e-26
3971.22080595521,7,5000.0,1000.0,3.408e-26
3971.22080595521,7,5000.0,10000.0,3.443e-26
3971.22080595521,7,5000.0,100000.0,3.51e-26
3971.22080595521,7,5000.0,1000000.0,3.681e-26
3971.22080595521,7,5000.0,10000000.0,4.193e-26
3971.22080595521,7,5000.0,100000000.0,5.133e-26
3971.22080595521,7,5000.0,1000000000.0,6.398e-26
3971.22080595521,7,5000.0,10000000000.0,9.576e-26
3971.22080595521,7,5000.0,100000000000.0,1.728e-25
3971.22080595521,7,5000.0,1000000000000.0,2.23e-25
3971.22080595521,7,5000.0,10000000000000.0,2.36e-25
3971.22080595521,7,5000.0,100000000000000.0,2.387e-25
3890.175483384695,8,10000.0,100.0,1.297e-26
3890.175483384695,8,10000.0,1000.0,1.3e-26
3890.175483384695,8,10000.0,10000.0,1.306e-26
3890.175483384695,8,10000.0,100000.0,1.321e-26
3890.175483384695,8,10000.0,1000000.0,1.377e-26
3890.175483384695,8,10000.0,10000000.0,1.527e-26
3890.175483384695,8,10000.0,100000000.0,1.728e-26
3890.175483384695,8,10000.0,1000000000.0,1.999e-26
3890.175483384695,8,10000.0,10000000000.0,2.718e-26
3890.175483384695,8,10000.0,100000000000.0,3.508e-26
3890.175483384695,8,10000.0,1000000000000.0,3.769e-26
3890.175483384695,8,10000.0,10000000000000.0,3.82e-26
3890.175483384695,8,10000.0,100000000000000.0,3.829e-26
3890.175483384695,8,500.0,100.0,1.018e-25
3890.175483384695,8,500.0,1000.0,1.079e-25
3890.175483384695,8,500.0,10000.0,1.189e-25
3890.175483384695,8,500.0,100000.0,1.405e-25
3890.175483384695,8,500.0,1000000.0,1.989e-25
3890.175483384695,8,500.0,10000000.0,3.743e-25
3890.175483384695,8,500.0,100000000.0,7.615e-25
3890.175483384695,8,500.0,1000000000.0,1.893e-24
3890.175483384695,8,500.0,10000000000.0,8.431e-24
